"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Starts,Ends,"Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","CTR (all)","Page engagement","Estimated ad recall lift (people)"
2022-05-29,2022-05-29,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",250,estimated_ad_recallers,1771,1961,0.07196,-,2022-05-23,2022-05-30,17.99,14.116318,6,12.748597654258,1.107284,6,0.305966,6,250
2022-05-25,2022-05-25,Julie_Cafe,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",250,estimated_ad_recallers,3754,4154,0.13184,"Above average",2022-05-23,2022-05-30,32.96,6.659563,8,6.0182956186808,1.106553,8,0.192585,8,250
2022-05-24,2022-05-24,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",220,estimated_ad_recallers,2869,3224,0.121,-,2022-05-23,2022-05-30,26.62,7.668177,10,6.8238213399504,1.123736,12,0.372208,11,220
2022-05-30,2022-05-30,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",200,estimated_ad_recallers,1406,1520,0.06535,-,2022-05-23,2022-05-30,13.07,14.224751,6,13.157894736842,1.081081,6,0.394737,6,200
2022-05-29,2022-05-29,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",200,estimated_ad_recallers,1959,2188,0.11,-,2022-05-23,2022-05-30,22,10.20929,6,9.1407678244973,1.116896,6,0.274223,6,200
2022-05-28,2022-05-28,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",180,estimated_ad_recallers,1806,1986,0.116,-,2022-05-23,2022-05-30,20.88,9.966777,,9.0634441087613,1.099668,0,0,,180
2022-05-24,2022-05-24,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",170,estimated_ad_recallers,2009,2308,0.112,-,2022-05-23,2022-05-30,19.04,8.461921,2,7.3656845753899,1.14883,2,0.086655,2,170
2022-05-27,2022-05-27,Joanne_Azul,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",160,estimated_ad_recallers,1233,1366,0.0790625,Average,2022-05-23,2022-05-30,12.65,12.97648,2,11.713030746706,1.107867,2,0.146413,2,160
2022-05-25,2022-05-25,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",160,estimated_ad_recallers,1984,2188,0.10275,Average,2022-05-23,2022-05-30,16.44,8.064516,3,7.3126142595978,1.102823,4,0.182815,3,160
2022-05-28,2022-05-28,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",150,estimated_ad_recallers,1131,1262,0.081133333333333,-,2022-05-23,2022-05-30,12.17,13.262599,1,11.88589540412,1.115827,2,0.158479,1,150
2022-05-27,2022-05-27,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",150,estimated_ad_recallers,1250,1373,0.090666666666667,Average,2022-05-23,2022-05-30,13.6,12,3,10.924981791697,1.0984,3,0.2185,3,150
2022-05-29,2022-05-29,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",140,estimated_ad_recallers,1375,1507,0.092571428571429,"Below average - Bottom 35% of ads",2022-05-23,2022-05-30,12.96,10.181818,4,9.2899800928998,1.096,4,0.265428,4,140
2022-05-29,2022-05-29,Noelle_Vino,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",140,estimated_ad_recallers,1412,1552,0.10142857142857,-,2022-05-23,2022-05-30,14.2,9.915014,1,9.020618556701,1.09915,1,0.064433,1,140
2022-05-28,2022-05-28,Serpent_Nude,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",140,estimated_ad_recallers,1342,1486,0.10685714285714,Average,2022-05-23,2022-05-30,14.96,10.432191,2,9.421265141319,1.107303,2,0.13459,2,140
2022-05-25,2022-05-25,Julie_Negro,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",140,estimated_ad_recallers,1336,1481,0.089142857142857,-,2022-05-23,2022-05-30,12.48,10.479042,3,9.4530722484808,1.108533,3,0.202566,3,140
2022-05-24,2022-05-24,Maddy_Camel,not_delivering,"Ejecutiva Awareness(C-, C)",0,ABSOLUTE_OCPM,150,Daily,2022-05-23T22:25:32-0500,"7-day click or 1-day view",140,estimated_ad_recallers,1629,1833,0.099928571428571,"Above average",2022-05-23,2022-05-30,13.99,8.59423,5,7.6377523186034,1.12523,6,0.327332,5,140
